SITE_NO,DATE_TIME_HEURE,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT
"ON02GH0302","2017-04-25 12:00","<","0.505","0.505","","4284","PG/L","1,2,3,4-TETRACHLORO-5-(3,5-DICHLOROPHENYL)BENZENE (PCB 159)","1,2,3,4-TÉTRACHLORO-5-(3,5-DICHLOROPHÉNYL)BENZÈNE (BPC 159)","P"
"ON02GH0302","2017-04-25 12:00","<","0.505","0.505","","4227","PG/L","1,2,3-TRICHLORO-4-(3-CHLOROPHENYL)BENZENE (PCB 55)","1,2,3-TRICHLORO-4-(3-CHLOROPHÉNYL)BENZÈNE (BPC 55)","P"
"ON02GH0302","2017-04-25 12:00","<","0.505","0.505","","4133","PG/L","1,2,4,5-TETRACHLORO-3-(2,3,5,6-TETRACHLOROPHENYL)BENZENE (PCB 202)","1,2,4,5-TÉTRACHLORO-3-(2,3,5,6-TÉTRACHLOROPHÉNYL)BENZÈNE (BPC 202)","P"
"ON02GH0302","2017-04-25 12:00"," ","0.98","","","4241","PG/L","1,2,5-TRICHLORO-3-(2,5-DICHLOROPHENYL)BENZENE (PCB 92)","1,2,5-TRICHLORO-3-(2,5-DICHLOROPHÉNYL)BENZÈNE (BPC 92)","P"
"ON02GH0302","2017-04-25 12:00","<","0.505","0.505","","4224","PG/L","1,2,5-TRICHLORO-3-(4-CHLOROPHENYL)BENZENE (PCB 63)","1,2,5-TRICHLORO-3-(4-CHLOROPHÉNYL)BENZÈNE (BPC 63)","P"
"ON02GH0302","2017-04-25 12:00"," ","1.78","","","4117","PG/L","1,2-DICHLORO-4-(4-CHLOROPHENYL)BENZENE (PCB 37)","1,2-DICHLORO-4-(4-CHLOROPHÉNYL)BENZÈNE (BPC 37)","P"
"ON02GH0302","2017-04-25 12:00"," ","1.13","","","4176","PG/L","1,2-DICHLORO-4-PHENYLBENZENE/1-CHLORO-4-(3-CHLOROPHENYL)BENZENE (PCB 12/13)","1,2-DICHLORO-4-PHÉNYLBENZÈNE/1-CHLORO-4-(3-CHLOROPHÉNYL)BENZÈNE (BPC 12/13)","P"
"ON02GH0302","2017-04-25 12:00"," ","1.25","","","4136","PG/L","2,2',3,3',4,4',5,5',6-NONACHLOROBIPHENYL (PCB 206)","2,2',3,3',4,4',5,5',6-NONACHLOROBIPHÉNYLE (BPC 206)","P"
"ON02GH0302","2017-04-25 12:00","<","0.505","0.505","","4319","PG/L","2,2',3,3',4,4',5,6,6'-NONACHLOROBIPHENYL (PCB 207)","2,2',3,3',4,4',5,6,6'-NONACHLOROBIPHÉNYLE (BPC 207)","P"
"ON02GH0302","2017-04-25 12:00","<","0.505","0.505","","4317","PG/L","2,2,'3,3',4,4',5,6-OCTACHLOROBIPHENYL (PCB 195)","2,2,'3,3',4,4',5,6-OCTACHLOROBIPHÉNYLE (BPC 195)","P"
"ON02GH0302","2017-04-25 12:00"," ","0.596","","","4135","PG/L","2,2',3,3',4,5,5',6,6'-NONACHLOROBIPHENYL (PCB 208)","2,2',3,3',4,5,5',6,6'-NONACHLOROBIPHÉNYLE (BPC 208)","P"
"ON02GH0302","2017-04-25 12:00","<","0.505","0.505","","4299","PG/L","2,2',3,3',4,5,5'-HEPTACHLOROBIPHENYL (PCB 172)","2,2',3,3',4,5,5'-HEPTACHLOROBIPHÉNYLE (BPC 172)","P"
"ON02GH0302","2017-04-25 12:00","<","0.505","0.505","","4308","PG/L","2,2',3,3',4,5',6,6'-OCTACHLOROBIPHENYL (PCB 201)","2,2',3,3',4,5',6,6'-OCTACHLOROBIPHÉNYLE (BPC 201)","P"
"ON02GH0302","2017-04-25 12:00","<","0.505","0.505","","4291","PG/L","2,2',3,3',4,5',6-HEPTACHLOROBIPHENYL (PCB 175)","2,2',3,3',4,5',6-HEPTACHLOROBIPHÉNYLE (BPC 175)","P"
"ON02GH0302","2017-04-25 12:00","<","0.549","0.549","","4278","PG/L","2,2',3,3',4,5'-HEXACHLOROBIPHENYL (PCB 130)","2,2',3,3',4,5'-HEXACHLOROBIPHÉNYLE (BPC 130)","P"
"ON02GH0302","2017-04-25 12:00","<","0.505","0.505","","4288","PG/L","2,2',3,3',4,6,6'-HEPTACHLOROBIPHENYL (PCB 176)","2,2',3,3',4,6,6'-HEPTACHLOROBIPHÉNYLE (BPC 176)","P"
"ON02GH0302","2017-04-25 12:00","<","0.536","0.536","","4269","PG/L","2,2',3,3',4,6-HEXACHLOROBIPHENYL (PCB 131)","2,2',3,3',4,6-HEXACHLOROBIPHÉNYLE (BPC 131)","P"
"ON02GH0302","2017-04-25 12:00"," ","2.24","","","4271","PG/L","2,2',3,3',4,6'-HEXACHLOROBIPHENYL (PCB 132)","2,2',3,3',4,6'-HEXACHLOROBIPHÉNYLE (BPC 132)","P"
"ON02GH0302","2017-04-25 12:00","<","0.505","0.505","","4290","PG/L","2,2',3,3',5,5',6-HEPTACHLOROBIPHENYL (PCB 178)","2,2',3,3',5,5',6-HEPTACHLOROBIPHÉNYLE (BPC 178)","P"
"ON02GH0302","2017-04-25 12:00","<","0.505","0.505","","4309","PG/L","2,2',3,4,4',5,6,6'-OCTACHLOROBIPHENYL (PCB 204)","2,2',3,4,4',5,6,6'-OCTACHLOROBIPHÉNYLE (BPC 204)","P"
"ON02GH0302","2017-04-25 12:00","<","0.548","0.548","","4279","PG/L","2,2',3,4,4',5-HEXACHLOROBIPHENYL (PCB 137)","2,2',3,4,4',5-HEXACHLOROBIPHÉNYLE (BPC 137)","P"
"ON02GH0302","2017-04-25 12:00"," ","1.68","","","4292","PG/L","2,2',3,4',5,5',6-HEPTACHLOROBIPHENYL (PCB 187)","2,2',3,4',5,5',6-HEPTACHLOROBIPHÉNYLE (PCB 187)","P"
"ON02GH0302","2017-04-25 12:00"," ","1.28","","","4277","PG/L","2,2',3,4,5,5'-HEXACHLOROBIPHENYL (PCB 141)","2,2',3,4,5,5'-HEXACHLOROBIPHÉNYLE (BPC 141)","P"
"ON02GH0302","2017-04-25 12:00"," ","1.04","","","4274","PG/L","2,2',3,4',5,5'-HEXACHLOROBIPHENYL (PCB 146)","2,2',3,4',5,5'-HEXACHLOROBIPHÉNYLE (BPC 146)","P"
"ON02GH0302","2017-04-25 12:00"," ","1.86","","","4205","PG/L","2,2',3,4'-TETRACHLOROBIPHENYL (PCB 42)","2,2',3,4'-TÉTRACHLOROBIPHÉNYLE (BPC 42)","P"
"ON02GH0302","2017-04-25 12:00","<","0.505","0.505","","4197","PG/L","2,2',3,6'-TETRACHLOROBIPHENYL (PCB 46)","2,2',3,6'-TÉTRACHLOROBIPHÉNYLE (BPC 46)","P"
"ON02GH0302","2017-04-25 12:00"," ","2.66","","","4178","PG/L","2,2',4-TRICHLOROBIPHENYL (PCB 17)","2,2',4-TRICHLOROBIPHÉNYLE (BPC 17)","P"
