SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","4.01","2.5","","6642","NG/G","1,3-DIMETHYLNAPHTHALENE","1,3-DIMÉTHYLNAPHTALÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","6643","NG/G","1-CHLORONAPHTHALENE","1-CHLORONAPHTALÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","3.14","2.5","","6644","NG/G","1-METHYLNAPHTHALENE","1-MÉTHYLNAPHTALÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","6645","NG/G","1-METHYLPHENANTHRENE","1-MÉTHYLPHÉNANTHRÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","6646","NG/G","1-NITROPYRENE","1-NITROPYRÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7092","NG/G","2,2',3,3',4,4',5,5',6-NONACHLOROBIPHENYL (PCB 206)","2,2',3,3',4,4',5,5',6-NONACHLOROBIPHÉNYLE (BPC 206)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7088","NG/G","2,2',3,3',4,4',5,5'-OCTACHLOROBIPHENYL (PCB 194)","2,2',3,3',4,4',5,5'-OCTACHLOROBIPHÉNYLE (BPC 194)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7089","NG/G","2,2,'3,3',4,4',5,6-OCTACHLOROBIPHENYL (PCB 195)","2,2,'3,3',4,4',5,6-OCTACHLOROBIPHÉNYLE (BPC 195)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7081","NG/G","2,2',3,3',4,4',5-HEPTACHLOROBIPHENYL (PCB 170)","2,2',3,3',4,4',5-HEPTACHLOROBIPHÉNYLE (BPC 170)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7082","NG/G","2,2',3,3',4,4',6-HEPTACHLOROBIPHENYL (PCB 171)","2,2',3,3',4,4',6-HEPTACHLOROBIPHÉNYLE (BPC 171)","P"
