"Date
 (dd-mm-yyyy)",Lake,Satellite Sensor,Bloom Extent (KM2),Bloom Extent (% of Lake Area),Bloom Intensity (µg/L),Bloom Severity (µg/L km2),"Valid Pixels
 (% of Lake Area)"
02/06/2002,Lake Erie,MERIS,25.83,0.1,15.74,406.52,28.71
15/06/2002,Lake Erie,MERIS,25.83,0.1,15.74,406.52,28.71
18/06/2002,Lake Erie,MERIS,0.27,0,11.69,3.16,12.73
23/06/2002,Lake Erie,MERIS,119.97,0.45,37.43,4490.67,75.84
24/06/2002,Lake Erie,MERIS,126.81,0.48,27.84,3529.79,93.32
26/06/2002,Lake Erie,MERIS,126.81,0.48,27.84,3529.79,93.32
30/06/2002,Lake Erie,MERIS,133.65,0.5,27.71,3703.83,99.99
01/07/2002,Lake Erie,MERIS,133.65,0.5,27.71,3703.83,99.99
04/07/2002,Lake Erie,MERIS,133.65,0.5,27.71,3703.83,99.99
09/07/2002,Lake Erie,MERIS,133.2,0.5,31.92,4252.1,99.87
10/07/2002,Lake Erie,MERIS,141.48,0.53,30.84,4363.07,99.93
12/07/2002,Lake Erie,MERIS,172.08,0.64,40.11,6901.77,99.98
13/07/2002,Lake Erie,MERIS,178.65,0.67,35.66,6370,99.99
16/07/2002,Lake Erie,MERIS,191.97,0.72,41.04,7877.57,99.81
23/07/2002,Lake Erie,MERIS,191.97,0.72,41.04,7877.57,99.81
25/07/2002,Lake Erie,MERIS,181.62,0.68,44.71,8119.43,99.86
29/07/2002,Lake Erie,MERIS,157.14,0.59,48.25,7581.77,99.7
31/07/2002,Lake Erie,MERIS,156.78,0.59,47.34,7421.89,94.8
01/08/2002,Lake Erie,MERIS,195.84,0.73,43.32,8483.69,99.84
03/08/2002,Lake Erie,MERIS,195.84,0.73,43.32,8483.69,99.84
05/08/2002,Lake Erie,MERIS,195.84,0.73,43.32,8483.69,99.84
08/08/2002,Lake Erie,MERIS,204.39,0.77,39.23,8018.26,99.79
14/08/2002,Lake Erie,MERIS,252.27,0.95,41.02,10346.9,99.77
29/08/2002,Lake Erie,MERIS,304.92,1.14,34.06,10385.27,61.38
14/09/2002,Lake Erie,MERIS,24.66,0.09,15.72,387.77,26.33
20/09/2002,Lake Erie,MERIS,110.25,0.41,26.96,2972.56,59.86
21/09/2002,Lake Erie,MERIS,177.39,0.66,34.18,6062.84,88.8
01/10/2002,Lake Erie,MERIS,195.12,0.73,34.92,6813.16,86.34
03/10/2002,Lake Erie,MERIS,195.12,0.73,34.92,6813.16,86.34
04/10/2002,Lake Erie,MERIS,205.56,0.77,41.13,8454.64,75.3
06/10/2002,Lake Erie,MERIS,235.8,0.88,34.29,8084.95,95.52
07/10/2002,Lake Erie,MERIS,273.87,1.03,29.42,8055.94,96.17
09/10/2002,Lake Erie,MERIS,273.87,1.03,29.42,8055.94,96.17
10/10/2002,Lake Erie,MERIS,227.07,0.85,31.79,7218.37,99.83
13/10/2002,Lake Erie,MERIS,230.49,0.86,31.04,7155.17,99.85
17/10/2002,Lake Erie,MERIS,230.04,0.86,31.06,7145.53,99.85
19/10/2002,Lake Erie,MERIS,235.35,0.88,28.88,6796.44,99.82
20/10/2002,Lake Erie,MERIS,232.92,0.87,27,6289.52,99.09
22/10/2002,Lake Erie,MERIS,227.07,0.85,27.66,6280.62,99.46
23/10/2002,Lake Erie,MERIS,226.71,0.85,27.66,6269.69,99.5
25/10/2002,Lake Erie,MERIS,278.28,1.04,23.51,6543.17,91.74
26/10/2002,Lake Erie,MERIS,277.47,1.04,23.54,6532.73,91.9
28/10/2002,Lake Erie,MERIS,290.79,1.09,23.13,6727.34,87.02
29/10/2002,Lake Erie,MERIS,290.79,1.09,23.13,6727.34,87.02
06/06/2003,Lake Erie,MERIS,3.15,0.01,13.23,41.66,52.13
08/06/2003,Lake Erie,MERIS,1.08,0,13.99,15.11,60.72
09/06/2003,Lake Erie,MERIS,121.68,0.46,57.91,7046.6,88.13
11/06/2003,Lake Erie,MERIS,121.68,0.46,57.91,7046.6,88.13
12/06/2003,Lake Erie,MERIS,121.68,0.46,57.91,7046.6,88.13
14/06/2003,Lake Erie,MERIS,120.6,0.45,58.25,7025.5,88.46
15/06/2003,Lake Erie,MERIS,228.6,0.86,46.76,10690.32,98.99
16/06/2003,Lake Erie,MERIS,228.6,0.86,46.76,10690.32,98.99
17/06/2003,Lake Erie,MERIS,228.6,0.86,46.76,10690.32,98.99
18/06/2003,Lake Erie,MERIS,217.17,0.81,46.03,9995.38,99.4
19/06/2003,Lake Erie,MERIS,217.17,0.81,46.03,9995.38,99.4
21/06/2003,Lake Erie,MERIS,233.37,0.87,46.23,10788.28,99.42
22/06/2003,Lake Erie,MERIS,234.99,0.88,46.02,10813.82,99.41
25/06/2003,Lake Erie,MERIS,232.47,0.87,46.15,10728.1,99.39
27/06/2003,Lake Erie,MERIS,231.03,0.87,47.47,10966.56,99.77
28/06/2003,Lake Erie,MERIS,233.19,0.87,47.58,11094.15,99.77
30/06/2003,Lake Erie,MERIS,202.59,0.76,50.74,10278.87,99.57
01/07/2003,Lake Erie,MERIS,218.43,0.82,49.03,10709.54,99.9
05/07/2003,Lake Erie,MERIS,220.59,0.83,50.13,11058.86,99.85
10/07/2003,Lake Erie,MERIS,224.91,0.84,49.47,11125.6,99.84
11/07/2003,Lake Erie,MERIS,223.02,0.84,48.61,10840.71,99.78
13/07/2003,Lake Erie,MERIS,237.6,0.89,47.97,11396.89,99.84
14/07/2003,Lake Erie,MERIS,249.48,0.94,48.04,11984.25,99.85
16/07/2003,Lake Erie,MERIS,197.19,0.74,41.45,8173.21,99.14
17/07/2003,Lake Erie,MERIS,185.76,0.7,42.8,7951.33,99.63
19/07/2003,Lake Erie,MERIS,185.76,0.7,42.8,7951.33,99.63
20/07/2003,Lake Erie,MERIS,209.61,0.79,43.04,9020.96,99.81
21/07/2003,Lake Erie,MERIS,209.61,0.79,43.04,9020.96,99.81
24/07/2003,Lake Erie,MERIS,209.61,0.79,43.04,9020.96,99.81
25/07/2003,Lake Erie,MERIS,207.9,0.78,43.32,9005.4,99.84
26/07/2003,Lake Erie,MERIS,207.9,0.78,43.32,9005.4,99.84
28/07/2003,Lake Erie,MERIS,202.41,0.76,40.32,8160.52,98.5
29/07/2003,Lake Erie,MERIS,240.12,0.9,45.4,10901.76,99.91
30/07/2003,Lake Erie,MERIS,242.28,0.91,45.16,10941.34,99.92
01/08/2003,Lake Erie,MERIS,223.2,0.84,45.56,10169.33,99.92
02/08/2003,Lake Erie,MERIS,221.31,0.83,44.09,9757.16,99.94
04/08/2003,Lake Erie,MERIS,210.6,0.79,47.36,9974.63,99.92
05/08/2003,Lake Erie,MERIS,201.06,0.75,47.89,9628.82,99.97
09/08/2003,Lake Erie,MERIS,201.78,0.76,47.69,9622.73,99.95
12/08/2003,Lake Erie,MERIS,168.84,0.63,47.96,8097.26,98.05
14/08/2003,Lake Erie,MERIS,286.56,1.07,37.07,10621.8,99.75
15/08/2003,Lake Erie,MERIS,304.47,1.14,36.82,11211.22,99.99
17/08/2003,Lake Erie,MERIS,337.59,1.27,38.3,12928.25,99.97
18/08/2003,Lake Erie,MERIS,353.07,1.32,36.76,12978.92,99.96
20/08/2003,Lake Erie,MERIS,443.61,1.66,36.85,16348.45,99.92
21/08/2003,Lake Erie,MERIS,428.22,1.6,32.86,14073.32,99.99
23/08/2003,Lake Erie,MERIS,428.22,1.6,32.86,14073.32,99.99
24/08/2003,Lake Erie,MERIS,432.72,1.62,31.8,13761.79,99.99
25/08/2003,Lake Erie,MERIS,432.72,1.62,31.8,13761.79,99.99
