Group,Family,Scientific_Name,Common_Name,Continent_of_Origin,Year_First_Collected,Category
Algae,Hemidiscaceae,Actinocyclus normanii f. subsalsa,a centric diatom,Europe,1895,Nonindigenous
Algae,Bangiaceae,Bangia atropurpurea,a red alga,Europe,1995,Nonindigenous
Algae,Stylonemataceae,Chroodactylon ornatum,a red alga,North America,1964,Nonindigenous
Algae,Thalassiosiraceae,Conticribra guillardii,a centric diatom,Europe,1973,Nonindigenous
Algae,Stephanodiscaceae,Cyclotella atomus,a centric diatom,Unknown,1976,Nonindigenous
Algae,Stephanodiscaceae,Cyclotella cryptica,a centric diatom,Unknown,1976,Nonindigenous
Algae,Nostocaceae,Cylindrospermopsis raciborskii,Cylindro,Indo-Pacific,1971,Nonindigenous
Algae,Stephanodiscaceae,Discostella pseudostelligera,a centric diatom,Unknown,1978,Nonindigenous
Algae,Skeletonemataceae,Skeletonema potamos,a centric diatom,Unknown,1963,Nonindigenous
Algae,Skeletonemaceae,Skeletonema subsalsum,a centric diatom,Eurasia,1973,Nonindigenous
Algae,Stephanodiscaceae,Stephanodiscus binderanus,a centric diatom,Eurasia,1930,Nonindigenous
Algae,Stephanodiscaceae,Stephanodiscus subtilis,a centric diatom,Eurasia,1978,Nonindigenous
Algae,Thalassiosiraceae,Thalassiosira baltica,a centric diatom,Eurasia,1996,Nonindigenous
Algae,Thalassiosiraceae,Thalassiosira bramaputrae,a centric diatom,Unknown,1978,Nonindigenous
Algae,Thalassiosiraceae,Thalassiosira pseudonana,a centric diatom,Unknown,1973,Nonindigenous
Algae,Thalassiosiraceae,Thalassiosira weissflogii,a centric diatom,Unknown,1962,Nonindigenous
